question,option1,option2,option3,option4,answerIndex,categoryId,subcategoryId,explanation
Which of the following is a valid exception handling block?,try-catch,try-except,try-finally,try-catch-finally,3,programming,Java-Basics,try-catch-finally is valid in Java.
Which of the following is a valid array initialization?,int[] arr = {1,2,3};,int arr[] = (1,2,3);,int arr = [1,2,3];,int arr = {1,2,3};,0,programming,Java-Basics,int[] arr = {1,2,3}; is correct.
Which of the following is a valid method call?,obj.fun(),fun(obj),obj->fun(),obj:fun(),0,programming,Java-Basics,obj.fun() is correct.
Which of the following is a valid static variable declaration?,static int x;,int static x;,static x int;,int x static;,0,programming,Java-Basics,static int x; is correct.
Which of the following is a valid final variable declaration?,final int x = 5;,int final x = 5;,final x int = 5;,int x final = 5;,0,programming,Java-Basics,final int x = 5; is correct.
Which of the following is a valid method overloading?,void fun(),void fun(int x),void fun(double x),All of these,3,programming,Java-Basics,All are valid method overloading.
Which of the following is a valid access to superclass method?,super.fun(),base.fun(),parent.fun(),superclass.fun(),0,programming,Java-Basics,super.fun() is correct.
Which of the following is a valid interface implementation?,class A implements I{},class A extends I{},class A : I{},class A inherits I{},0,programming,Java-Basics,class A implements I{} is correct.
Which of the following is a valid package import?,import java.util.*;,import util.java.*,import java.util,import:java.util.*,0,programming,Java-Basics,import java.util.*; is correct.
Which of the following is a valid method signature?,public void fun(),void fun(),public static void fun(),All of these,3,programming,Java-Basics,All are valid method signatures.
