question,option1,option2,option3,option4,answerIndex,categoryId,subcategoryId,explanation
Which of the following is a valid list append?,lst.append(1),append(lst,1),lst.add(1),lst.push(1),0,programming,python-basics,lst.append(1) is correct.
Which of the following is a valid list length access?,len(lst),lst.length(),lst.size(),lst.len(),0,programming,python-basics,len(lst) is correct.
Which of the following is a valid string length access?,len(s),s.length(),s.size(),s.len(),0,programming,python-basics,len(s) is correct.
Which of the following is a valid string concatenation?,s1 + s2,s1.concat(s2),concat(s1,s2),s1 & s2,0,programming,python-basics,s1 + s2 is correct.
Which of the following is a valid input statement?,input(),scanf(),cin(),get(),0,programming,python-basics,input() is correct.
Which of the following is a valid print statement?,print("Hello"),echo("Hello"),printf("Hello"),cout << "Hello",0,programming,python-basics,print("Hello") is correct.
Which of the following is a valid exception handling block?,try-except,try-catch,try-finally,try-except-finally,3,programming,python-basics,try-except-finally is valid in Python.
Which of the following is a valid list slicing?,lst[1:3],lst(1:3),lst{1:3},lst<1:3>,0,programming,python-basics,lst[1:3] is correct.
Which of the following is a valid dictionary access?,d["a"],d.a,d[0],d(a),0,programming,python-basics,d["a"] is correct.
Which of the following is a valid set add?,s.add(1),add(s,1),s.append(1),s.push(1),0,programming,python-basics,s.add(1) is correct.
Which of the following is a valid for-else loop?,for i in range(5): ... else: ...,for i in range(5): ... else ...,for i in range(5) else: ...,for i in range(5): else ...,0,programming,python-basics,for i in range(5): ... else: ... is correct.
Which of the following is a valid break statement?,break,break;,break(),break[],0,programming,python-basics,break is correct.
Which of the following is a valid continue statement?,continue,continue;,continue(),continue[],0,programming,python-basics,continue is correct.
Which of the following is a valid pass statement?,pass,pass;,pass(),pass[],0,programming,python-basics,pass is correct.
Which of the following is a valid global variable declaration?,global x,declare x global,global: x,global.x,0,programming,python-basics,global x is correct.
Which of the following is a valid lambda function?,lambda x: x+1,lambda(x): x+1,lambda x = x+1,lambda x -> x+1,0,programming,python-basics,lambda x: x+1 is correct.
Which of the following is a valid list comprehension?,[x for x in range(5)],(x for x in range(5)),{x for x in range(5)},<x for x in range(5)>,0,programming,python-basics,[x for x in range(5)] is correct.
Which of the following is a valid import alias?,import math as m,import math alias m,import math = m,import math -> m,0,programming,python-basics,import math as m is correct.
Which of the following is a valid with statement?,with open("file.txt") as f:,with open("file.txt") as f,with open("file.txt") as: f,with open("file.txt") f as:,0,programming,python-basics,with open("file.txt") as f: is correct.
Which of the following is a valid raise statement?,raise Exception(),raise Exception,raise: Exception(),raise Exception[],0,programming,python-basics,raise Exception() is correct.
Which of the following is a valid assert statement?,assert x == 5,assert(x == 5),assert x = 5,assert x == 5;,0,programming,python-basics,assert x == 5 is correct.
Which of the following is a valid del statement?,del x,delete x,del(x),del.x,0,programming,python-basics,del x is correct.
Which of the following is a valid isinstance check?,isinstance(x, int),isinstance(x, int()),isinstance(x, type),isinstance(x, int, float),0,programming,python-basics,isinstance(x, int) is correct.
Which of the following is a valid type check?,type(x),type x,type(x()),type.x,0,programming,python-basics,type(x) is correct.
Which of the following is a valid zip usage?,zip([1,2],[3,4]),zip([1,2],[3,4]),zip([1,2],[3,4]),zip([1,2],[3,4]),0,programming,python-basics,zip([1,2],[3,4]) is correct.
Which of the following is a valid enumerate usage?,enumerate([1,2,3]),enumerate([1,2,3]),enumerate([1,2,3]),enumerate([1,2,3]),0,programming,python-basics,enumerate([1,2,3]) is correct.
Which of the following is a valid map usage?,map(str, [1,2,3]),map(str, [1,2,3]),map(str, [1,2,3]),map(str, [1,2,3]),0,programming,python-basics,map(str, [1,2,3]) is correct.
Which of the following is a valid filter usage?,filter(lambda x: x>0, [1,2,3]),filter(lambda x: x>0, [1,2,3]),filter(lambda x: x>0, [1,2,3]),filter(lambda x: x>0, [1,2,3]),0,programming,python-basics,filter(lambda x: x>0, [1,2,3]) is correct.
Which of the following is a valid sorted usage?,sorted([3,1,2]),sorted([3,1,2]),sorted([3,1,2]),sorted([3,1,2]),0,programming,python-basics,sorted([3,1,2]) is correct.
